company,date,salary,url,title,skills,recruiter,location,field
Kemper,2025-07-02,53000.0,https://jobright.ai/jobs/info/68658ff171c37de7722c7ad9?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Business Analyst Experience', 'Information Technology Degree', 'Business Administration Degree', 'Business Process Improvement', 'Project Management', 'MS Word Proficiency', 'MS Excel Proficiency', 'MS PowerPoint Proficiency']",N/A,"Jacksonville, Florida",Business Analyst
MetaPhase,2025-07-02,65000.0,https://jobright.ai/jobs/info/6865913b5a467cb6264ea533?utm_campaign=Business%20Analyst&utm_source=1103,Junior Business Analyst,"['Business Analysis', 'Technical Project Support', 'Stakeholder Engagement', 'Software Development Life Cycle', 'Requirements Gathering', 'Agile Frameworks', 'Scrum Frameworks']",N/A,USA,Business Analyst
Scratch Financial,2025-07-03,115000.0,https://jobright.ai/jobs/info/686642051a2257c003cf2e03?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Management Consulting', 'Finance', 'SQL', 'Dataset Analysis']",N/A,United States,Business Analyst
Kemper,2025-07-03,53000.0,https://jobright.ai/jobs/info/6865d9b9fa2c8673df6c01c1?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Business Analyst Experience', 'Information Technology Degree', 'Business Administration Degree', 'Computer Knowledge', 'Business Process Controls', 'Project Management', 'Technical Communication', 'MS Word Proficiency', 'MS Excel Proficiency', 'MS PowerPoint Proficiency']",N/A,"Birmingham, AL",Business Analyst
Ripple Effect Studios,2025-07-03,87360,https://jobright.ai/jobs/info/6866c78f54bbd609c0224245?utm_campaign=Business%20Analyst&utm_source=1103,AI Business Strategist (MBA Candidate) - 6 Month TFT,"['AI knowledge', 'Machine learning tools', 'Storytelling abilities']",N/A,"Marina del Rey, CA",Business Analyst
State Street,2025-07-07,70000.0,https://jobright.ai/jobs/info/685d347f81c380091c6d960d?utm_campaign=Business%20Analyst&utm_source=1103,Technical Business Analyst,"['Product Management', 'Business Analysis', 'Software Systems', 'Cloud Technology Solutions']",N/A,"Burlington, MA",Business Analyst
Moelis & Company,2025-07-03,75000.0,https://jobright.ai/jobs/info/684b3154cb6a43977f3ab65c?utm_campaign=Business%20Analyst&utm_source=1103,"Capital Markets Business Analyst, Business Management - New York","['Quantitative skills', 'perform under pressure']",N/A,"New York, United States",Business Analyst
The Depository Trust & Clearing Corporation (DTCC),2025-07-03,N/A,https://jobright.ai/jobs/info/6866c76454bbd609c0223be5?utm_campaign=Business%20Analyst&utm_source=1103,IT Business Analyst,N/A,N/A,"Jersey City, NJ",Business Analyst
Ripple Effect Studios,2025-07-03,87360,https://jobright.ai/jobs/info/6866c0d218861a21481fc766?utm_campaign=Business%20Analyst&utm_source=1103,AI Business Strategist (MBA Candidate) - 6 Month TFT,"['AI knowledge', 'Machine learning tools', 'Storytelling abilities']",N/A,LA Metro Area,Business Analyst
The Depository Trust & Clearing Corporation (DTCC),2025-07-03,45000.0,https://jobright.ai/jobs/info/6866b29f79d1d50125d59383?utm_campaign=Business%20Analyst&utm_source=1103,IT Business Analyst,N/A,N/A,"570 Washington Blvd, Jersey City, NJ, 07310, US",Business Analyst
North Carolina Education Lottery,2025-07-03,68000.0,https://jobright.ai/jobs/info/6866bb610c725ef7354e4af9?utm_campaign=Business%20Analyst&utm_source=1103,eCommerce Business Analyst,"['Business Analysis', 'Business Process Modeling', 'Requirements Gathering', 'BPMN', 'UML', 'Project Management Methodologies', 'Agile', 'Waterfall', 'Scrum', 'Microsoft Office Suite', 'Excel', 'Word', 'PowerPoint', 'SharePoint', 'Business Intelligence Tools', 'Tableau', 'Power BI', 'SAS', 'SAP', 'Project Management Software', 'Smartsheet', 'JIRA', 'Confluence', 'Trello']",N/A,"Raleigh, NC",Business Analyst
The Travel Corporation,2025-07-03,62400,https://jobright.ai/jobs/info/686702ea0c142dbf52b23ff7?utm_campaign=Business%20Analyst&utm_source=1103,Junior Business Analyst,"['Business Analysis', 'Microsoft Office', 'Confluence', 'Miro', 'Trello']",N/A,"Calabasas, CA",Business Analyst
Acosta,2025-07-03,44000.0,https://jobright.ai/jobs/info/68671895bbeda2d64b8171d1?utm_campaign=Business%20Analyst&utm_source=1103,Associate Business Manager,"['Marketing experience', 'Sales experience', 'Sales process understanding', 'Contract paperwork knowledge', 'Client promotion systems', 'Presentation preparation', 'Presentation delivery', 'Handling questions', 'Negotiation strategy development', 'Negotiation tactical technique', 'Marketing analytics', 'IRI data interpretation', 'AC Nielson data interpretation', 'Post-promotion analysis', 'Category management', 'Profit strategy creation', 'Volume strategy creation', 'Financial statement understanding', 'Order processing knowledge', 'Inventory tracking knowledge', 'Client distribution methods', 'Customer distribution methods']",N/A,"Overland Park, KS",Business Analyst
Ripple Effect Studios,2025-07-03,87360,https://jobright.ai/jobs/info/6866e143a680c9b3394008c5?utm_campaign=Business%20Analyst&utm_source=1103,AI Business Strategist (MBA Candidate) - 6 Month TFT,"['AI knowledge', 'Machine learning tools', 'Storytelling abilities']",N/A,"Redwood City, CA",Business Analyst
Prime Healthcare,2025-07-04,67000.0,https://jobright.ai/jobs/info/683e7366fcbaf603244a44d8?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst I,"['Data Analysis', 'Statistical Methods', 'Project Management']",N/A,"Ontario, CA",Business Analyst
Prime Healthcare,2025-07-04,69000.0,https://jobright.ai/jobs/info/6867bd5135584b65422c06c3?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst I,"['Data Analysis', 'Statistical Methods', 'Project Management']",N/A,"Ontario, CA",Business Analyst
Travelers,2025-07-04,76000.0,https://jobright.ai/jobs/info/684b8a9e86dff4492d60ee2c?utm_campaign=Business%20Analyst&utm_source=1103,Business Systems Analyst (Personal Insurance),['Business Systems Experience'],N/A,"Hartford, CT",Business Analyst
HCVT,2025-07-05,65000.0,https://jobright.ai/jobs/info/682fa577ba412533b5bb9a66?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['MS SQL', 'Querying']",N/A,"Irvine, CA",Business Analyst
Public Consulting Group,2025-07-05,55000.0,https://jobright.ai/jobs/info/684c6fbe72a71b4d2cf1eb7b?utm_campaign=Business%20Analyst&utm_source=1103,IT Business Analyst - Public Sector,"['Microsoft Access', 'Microsoft PowerPoint', 'Microsoft Excel', 'Consulting experience', 'IT experience']",N/A,United States,Business Analyst
FICO,2025-07-05,70000.0,https://jobright.ai/jobs/info/684c68f2c2455dccea18d5c9?utm_campaign=Business%20Analyst&utm_source=1103,Business Operations Analyst - NORAM,"['Business operations experience', 'Sales support experience', 'Finance experience', 'SaaS company experience', 'Microsoft Office proficiency', 'Advanced Excel skills']",N/A,United States,Business Analyst
AMEX Healthcare,2025-06-30,55000.0,https://jobright.ai/jobs/info/68692c1d35584b65421f8eb5?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Project Management', 'Business Systems Learning', 'Reporting Tools', 'CRM Tools', 'Power BI', 'Power Apps', 'PowerPoint', 'Excel', 'Salesforce']",N/A,USA,Business Analyst
SpaceX,2025-07-05,75000.0,https://jobright.ai/jobs/info/67d88af8ddef98405b845004?utm_campaign=Business%20Analyst&utm_source=1103,Business Operations Analyst (Starlink),"['Engineering experience', 'Manufacturing experience', 'Product management experience', 'Operations experience', 'FP&A experience', 'Consulting experience', 'Banking experience', 'Entrepreneurship experience', 'Excel proficiency', 'Programming experience']",N/A,"Hawthorne, CA",Business Analyst
Travelers,2025-07-04,76000.0,https://jobright.ai/jobs/info/684b794c12ef4306c16e6c60?utm_campaign=Business%20Analyst&utm_source=1103,Business Systems Analyst (Personal Insurance),['Business Systems Experience'],N/A,"Hartford, CT",Business Analyst
Capital One,2025-07-08,99000.0,https://jobright.ai/jobs/info/686c6cf535584b6542a7a22a?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst Associate - February 2026,N/A,N/A,"Richmond, VA",Business Analyst
Capital One,2025-07-08,99000.0,https://jobright.ai/jobs/info/686c68eb35584b654290e104?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst Associate - February 2026,N/A,N/A,"McLean, VA",Business Analyst
NYC Alliance,2025-07-07,60000.0,https://jobright.ai/jobs/info/686c3c6635584b65428442bf?utm_campaign=Business%20Analyst&utm_source=1103,Business Partner - Process,"['Business process management', 'Process improvement', 'Process mapping', 'Documentation tools', 'Project management']",Connor Evans,"New York, NY",Business Analyst
Ann Taylor,2025-07-07,64000.0,https://jobright.ai/jobs/info/686c066c35584b6542226718?utm_campaign=Business%20Analyst&utm_source=1103,Inventory Planning Analyst - ATF,"['Business analytics', 'Data influence', 'Financial acumen', 'Computer skills', 'JDA', 'Arthur Allocation', 'E3', 'Oracle', 'SAP Business Objects', 'MicroStrategy', 'Excel', 'Access', 'Word', 'PowerPoint', 'MS Outlook']",N/A,"New York, NY",Business Analyst
LPL Financial,2025-07-07,63066,https://jobright.ai/jobs/info/686c037a35584b654211232e?utm_campaign=Business%20Analyst&utm_source=1103,"Analyst, Business Systems","['Microsoft Office', 'Agile Methodology', 'Project Management']",N/A,Fort Mill/Charlotte,Business Analyst
LPL Financial,2025-07-07,63066,https://jobright.ai/jobs/info/686c10d035584b654267df03?utm_campaign=Business%20Analyst&utm_source=1103,"Analyst, Business Systems","['Microsoft Office', 'Agile Methodology', 'Project Management']",N/A,"Fort Mill, SC",Business Analyst
AMEX Healthcare,2025-07-07,55000.0,https://jobright.ai/jobs/info/686c00d135584b654201fa3c?utm_campaign=Business%20Analyst&utm_source=1103,Business Insights Analyst,"['SQL', 'Data Visualization', 'Power BI', 'Tableau', 'Excel', 'Advanced Excel Formulas', 'Cost Benefit Analysis', 'Project Management', 'Strategic Planning', 'Statistics', 'Probability', 'Operations Research', 'Forecasting', 'Quality Control', 'Statistical Process Control', 'Process Mapping']",N/A,"Phoenix, AZ",Business Analyst
LOFT,2025-07-07,64000.0,https://jobright.ai/jobs/info/686c061a35584b6542213ce6?utm_campaign=Business%20Analyst&utm_source=1103,Inventory Planning Analyst - LOFT,"['Business analytics', 'Data influence', 'Financial acumen', 'Computer skills', 'JDA', 'Arthur Allocation', 'E3', 'Oracle', 'SAP Business Objects', 'MicroStrategy', 'Excel', 'Access', 'Word', 'PowerPoint', 'MS Outlook']",N/A,"New York, NY",Business Analyst
Capital One,2025-07-07,109000.0,https://jobright.ai/jobs/info/686bda4735584b654216456d?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst Associate - February 2026,N/A,N/A,"Richmond, VA",Business Analyst
Beyond Finance,2025-07-07,65000.0,https://jobright.ai/jobs/info/67f1bb7a23adf4fd68e22e3e?utm_campaign=Business%20Analyst&utm_source=1103,Business Analytics Associate,"['Strategy Consulting', 'Financial Services', 'Start-up Experience', 'Excel Analysis', 'SQL Coding']",N/A,"Chicago, IL",Business Analyst
Centene Corporation,2025-07-01,55120,https://jobright.ai/jobs/info/686c238935584b6542dd7dcf?utm_campaign=Business%20Analyst&utm_source=1103,Assistive Technology Business Analyst,"['Data Processing', 'Assistive Technologies']",N/A,Remote-FL,Business Analyst
Centene Corporation,2025-07-01,55120,https://jobright.ai/jobs/info/686c22d435584b6542d9eb6f?utm_campaign=Business%20Analyst&utm_source=1103,Assistive Technology Business Analyst,"['Data Processing', 'Assistive Technologies']",N/A,Remote-VA,Business Analyst
UnitedHealth Group,2025-07-08,58802,https://jobright.ai/jobs/info/686cd4a165ca97161f3d4242?utm_campaign=Business%20Analyst&utm_source=1103,"Junior Business Analyst - Minnetonka, MN","['Business Analyst', 'Excel proficiency', 'PowerPoint proficiency']",N/A,"Minnetonka, MN",Business Analyst
California State University-Sacramento,2025-07-02,55176.0,https://jobright.ai/jobs/info/686c9b6235584b6542a454fe?utm_campaign=Business%20Analyst&utm_source=1103,Athletics Business Analyst,"['Business processes experience', 'Financial analysis experience', 'Budget preparation knowledge', 'Financial management knowledge', 'Purchasing policies knowledge', 'Fiscal administration principles', 'Standard office software knowledge', 'Microsoft Office proficiency', 'Data analysis skills', 'create reports', 'maintain databases', 'create pivot tables', 'work on-call']",N/A,"Sacramento, CA",Business Analyst
Travelers,2025-07-08,76000.0,https://jobright.ai/jobs/info/686d6cf51d70c54b6631aaf1?utm_campaign=Business%20Analyst&utm_source=1103,Business  Analyst - BI Product Value Stream,['Business Systems Experience'],N/A,"Hartford, CT",Business Analyst
Centene Corporation,2025-07-08,55120,https://jobright.ai/jobs/info/686d56bcf647ce171897fc39?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst I,"['Business Process Analysis', 'Data Analysis', 'User Acceptance Testing', 'Implementation Barriers Identification', 'User Requirements Analysis', 'Process Improvement', 'Project Analysis', 'Business Solutions Recommendation']",N/A,"Michigan, United States",Business Analyst
Centene Corporation,2025-07-08,55120,https://jobright.ai/jobs/info/686d3c1e9f97117d5db0b6e3?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst I,"['Business Process Analysis', 'Data Analysis', 'User Acceptance Testing', 'Implementation Barriers Identification', 'User Requirements Analysis', 'Process Improvement', 'Detailed Project Analysis', 'Business Solutions Recommendation']",N/A,Remote-MI,Business Analyst
KeyLogic,2025-07-08,76000.0,https://jobright.ai/jobs/info/686da99a847857cfc76332bc?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Business Analyst Experience', 'Operations Support Experience', 'Project Coordination Experience', 'ITSM Tools Familiarity', 'ServiceNow Proficiency', 'Remedy Proficiency', 'ITIL Practices Knowledge', 'Documentation Skills', 'Microsoft Office Suite Proficiency', 'Excel Proficiency', 'Word Proficiency', 'PowerPoint Proficiency', 'Outlook Proficiency', 'Project Support Experience', 'Public Trust Eligibility']",N/A,"Folsom, CA",Business Analyst
Blueprint,2025-07-08,41600,https://jobright.ai/jobs/info/686d9beb5f428ecb4c018a12?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst - Supply Chain Coordinator,"['Microsoft Office Suite', 'Data Analysis', 'Business Operations', 'Supply Chain']",N/A,"Bellevue, WA",Business Analyst
J.Crew,2025-07-01,81000.0,https://jobright.ai/jobs/info/686333ca09c6b7a1394545d7?utm_campaign=Data%20Analysis&utm_source=1103,Analyst - IT Compliance,"['IT compliance experience', 'Compliance tools proficiency', 'Project management']",N/A,"New York, NY",Data Analysis
Howard University,2025-07-01,44000.0,https://jobright.ai/jobs/info/68632fb7d98d62879cdcaac0?utm_campaign=Data%20Analysis&utm_source=1103,Research Assistant,"['Research experience', 'Microsoft Office proficiency', 'Data collection coursework', 'Research methodology coursework', 'Human subjects research certification']",N/A,DC-Baltimore Area,Data Analysis
"University of California, San Francisco",2025-07-01,64000.0,https://jobright.ai/jobs/info/68633678980d1a4dc2fce2a3?utm_campaign=Data%20Analysis&utm_source=1103,Research Data Analyst,"['Research analysis', 'Statistical analysis', 'Systems programming', 'Database design', 'Salesforce', 'Excel', 'Database systems']",N/A,"San Francisco, CA",Data Analysis
North Carolina State University,2025-07-01,45760,https://jobright.ai/jobs/info/68634e1fa95141c2a0f50206?utm_campaign=Data%20Analysis&utm_source=1103,(GIS) Research Assistant (Machado),"['Windows operating systems', 'Basic GIS principles', 'ArcGIS', 'QGIS', 'Microsoft Excel', 'Food animal production', 'Spatiality data', 'Spatial analysis']",N/A,"Raleigh, NC",Data Analysis
American Express,2025-07-01,90000.0,https://jobright.ai/jobs/info/6863483f7b70a2dc5dbe71c6?utm_campaign=Data%20Analysis&utm_source=1103,Manager-Data Science,"['Model development experience', 'Data manipulation tools', 'Python', 'Py Spark', 'Data Science expertise', 'Traditional modeling', 'Coding expertise', 'Decision trees', 'Gaussian processes', 'Bayesian models', 'Gradient boosting', 'Finance concepts', 'Valuation concepts']",N/A,"New York, NY",Data Analysis
Experian,2025-07-01,133000.0,https://jobright.ai/jobs/info/68633c3b6c6ef6d93a6a4394?utm_campaign=Data%20Analysis&utm_source=1103,"Data Scientist, Remote","['Machine Learning', 'Data Science', 'AI', 'Computer Science', 'Predictive Modeling', 'Python', 'Deep Learning', 'CNN', 'RNN', 'LSTM', 'Attention Models', 'SVM', 'GLM', 'Boosting', 'Random Forest', 'Graph Models', 'Reinforcement Learning', 'Pytorch', 'Keras', 'TensorFlow', 'Scikit-learn', 'Pandas', 'Spark', 'PySpark', 'LLMs', 'Generative AI', 'Hadoop', 'NoSQL', 'Map Reduce', 'Hive', 'HBase', 'MongoDB', 'Cassandra', 'Advanced Algorithms']",N/A,"United States, United States, United States, United States",Data Analysis
